project_code,period,mo,project_name,sector,agency,state,exit_status,effective_cost,f_vel_mean,f_vel_last,f_vel_std,f_burn_mean,f_stall_share,f_stall_run,f_n_snapshots,f_n_doc_changes,f_n_cost_changes,f_n_antic_doc_changes,f_progress,f_fin_progress,f_progress_gap,f_age_mo,f_planned_mo,f_elapsed_share,f_months_past_doc,f_overdue,f_mo_remaining,f_required_vel,f_feasibility,f_is_cost_revised,f_is_sched_revised,f_cost_revision_pct,f_slip_days,f_antic_cost_gap_pct,f_antic_doc_gap_days,f_log_cost,y_cost_esc,y_time_esc,y_adverse
220100265,2025-01,24301,KOTLPALLI-NARASAPUR (NL) (SCR),RAILWAYS,SCR,ANDHRA PRADESH,on_roster,1045.2,3.6,0.0,8.049844718999243,0.0,0.8,1,6,0.0,0.0,0.0,18.0,110.09758897818598,92.09758897818598,277.00394218134034,86.95795006570302,3.185493010955799,190.04599211563732,1,-190.04599211563732,,,0,0,0.0,0.0,139.28243398392652,6574.0,6.95291983093651,1,1,1
220100265,2025-03,24303,KOTLPALLI-NARASAPUR (NL) (SCR),RAILWAYS,SCR,ANDHRA PRADESH,on_roster,1045.2,3.6,,8.049844718999243,0.008333333333325754,0.8,0,7,0.0,0.0,0.0,,110.10715652506696,,278.9421813403416,86.95795006570302,3.2077823951643367,191.98423127463863,1,-191.98423127463863,,,0,0,0.0,0.0,139.28243398392652,6574.0,6.95291983093651,1,1,1
220100272,2024-07,24295,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER",RAILWAYS,ER,WEST BENGAL,on_roster,1188.91,,,,,,0,1,0.0,0.0,0.0,75.0,90.1506421848584,15.150642184858398,290.9658344283837,226.9382391590013,1.2821366531557614,64.02759526938239,1,7.982917214191852,3.131687242798354,,0,1,0.0,2192.0,36.218048464559956,0.0,7.081632952993362,1,0,1
220100272,2024-09,24297,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER",RAILWAYS,ER,WEST BENGAL,on_roster,1188.91,0.0,0.0,,7.600000000000023,1.0,1,2,0.0,0.0,0.0,75.0,91.42912415573929,16.429124155739288,293.0026281208936,226.9382391590013,1.2911117544875508,66.06438896189225,1,5.946123521681997,4.204419889502763,0.0,0,1,0.0,2192.0,117.21492795922313,0.0,7.081632952993362,0,1,1
220100272,2024-10,24298,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER",RAILWAYS,ER,WEST BENGAL,on_roster,1188.91,0.0,0.0,0.0,3.8000000000000114,1.0,2,3,0.0,0.0,0.0,75.0,91.42912415573929,16.429124155739288,293.98817345597894,226.9382391590013,1.2954545454545452,67.04993429697765,1,4.9605781865965834,5.039735099337748,0.0,0,1,0.0,2192.0,117.21492795922313,0.0,7.081632952993362,0,1,1
220100272,2024-12,24300,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER",RAILWAYS,ER,WEST BENGAL,on_roster,1188.91,0.0,0.0,0.0,12.340000000000003,1.0,4,5,1.0,0.0,1.0,75.0,94.94158514942258,19.94158514942258,295.99211563731933,226.9382391590013,1.3042848870874348,69.053876478318,1,14.027595269382392,1.7822014051522248,0.0,0,1,0.0,2529.0,117.21492795922313,0.0,7.081632952993362,0,0,0
220100272,2025-01,24301,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER",RAILWAYS,ER,WEST BENGAL,on_roster,1188.91,0.0,0.0,0.0,13.477999999999998,1.0,5,6,1.0,0.0,1.0,75.0,96.45810027672405,21.458100276724053,297.01051248357425,226.9382391590013,1.3087724377533294,70.07227332457293,1,13.009198423127463,1.9217171717171717,0.0,0,1,0.0,2529.0,117.21492795922313,0.0,7.081632952993362,0,0,0
220100272,2025-03,24303,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER",RAILWAYS,ER,WEST BENGAL,on_roster,1188.91,0.0,0.0,0.0,17.685833333333335,1.0,6,7,1.0,0.0,1.0,75.0,102.97247058229806,27.972470582298058,298.94875164257553,226.9382391590013,1.3173132599884192,72.01051248357425,1,11.070959264126149,2.2581602373887244,0.0,0,1,0.0,2529.0,117.21492795922313,0.0,7.081632952993362,0,0,0
220100284,2024-07,24295,KHURDA ROAD- BOLANGIR(NL)ECOR,RAILWAYS,ECOR,ODISHA,on_roster,3791.66,,,,,,0,1,0.0,0.0,0.0,76.0,104.08290827764093,28.082908277640925,362.97634691195793,178.97503285151117,2.0280837004405283,184.00131406044676,1,29.00788436268068,0.827361268403171,,1,1,29.71232890771194,6484.0,34.225378857808984,0.0,7.980752279525691,0,0,0
220100284,2024-09,24297,KHURDA ROAD-BOLANGIR(NL)ECOR,RAILWAYS,ECOR,ODISHA,on_roster,3791.66,1.0,1.0,,72.32000000000016,0.0,0,2,0.0,0.0,0.0,78.0,107.89759630346603,29.89759630346603,365.01314060446776,178.97503285151117,2.0394640234948604,186.03810775295662,1,26.971090670170828,0.8156881851400731,1.2259586668259466,1,1,29.71232890771194,6484.0,34.225378857808984,0.0,7.980752279525691,0,0,0
220100284,2024-10,24298,KHURDA ROAD- BOLANGIR(NL)ECOR,RAILWAYS,ECOR,ODISHA,on_roster,3791.66,0.5,0.0,0.7071067811865476,78.33500000000004,0.5,1,3,0.0,0.0,0.0,78.0,110.12221559949995,32.12221559949995,365.9986859395532,178.97503285151117,2.0449706314243756,187.02365308804204,1,25.985545335085412,0.8466245259165613,0.5905805757973958,1,1,29.71232890771194,6484.0,34.225378857808984,0.0,7.980752279525691,0,0,0
220100284,2024-12,24300,KHURDA ROAD-BOLANGIR(NL)ECOR,RAILWAYS,ECOR,ODISHA,on_roster,3791.66,0.75,0.0,0.9574271077563381,77.98250000000007,0.5,1,5,0.0,0.0,0.0,80.0,114.2169920298761,34.216992029876096,368.0026281208935,178.97503285151117,2.056167400881057,189.02759526938237,1,23.98160315374507,0.8339726027397261,0.8993101182654402,1,1,29.71232890771194,6484.0,34.225378857808984,0.0,7.980752279525691,0,0,0
220100284,2025-01,24301,KHURDA ROAD-BOLANGIR(NL)ECOR,RAILWAYS,ECOR,ODISHA,on_roster,3791.66,1.0,2.0,1.0,75.58600000000006,0.4,0,6,0.0,0.0,0.0,82.0,115.95765443104077,33.957654431040766,369.0210249671485,178.97503285151117,2.0618575624082234,190.04599211563732,1,22.963206307490143,0.7838626609442061,1.2757336837494524,1,1,29.71232890771194,6484.0,34.225378857808984,0.0,7.980752279525691,0,0,0
220100284,2025-03,24303,KHURDA ROAD- BOLANGIR(NL)ECOR,RAILWAYS,ECOR,ODISHA,on_roster,3791.66,1.0,1.0,0.8944271909999159,82.22166666666674,0.3333333333333333,0,7,0.0,0.0,0.0,84.0,122.04469810056811,38.04469810056811,370.9592641261498,178.97503285151117,2.0726872246696035,191.98423127463863,1,21.02496714848883,0.761,1.314060446780552,1,1,29.71232890771194,6484.0,34.225378857808984,0.0,7.980752279525691,0,0,0
220100288,2024-07,24295,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),RAILWAYS,NFR,MANIPUR,on_roster,12274.06,,,,,,0,1,0.0,0.0,0.0,79.5,119.2488874911806,39.7488874911806,254.9934296977661,94.97371879106439,2.684884123140782,160.0197109067017,1,29.00788436268068,0.706704416761042,,1,1,175.56334850263912,5754.0,59.015843168438174,0.0,8.401820498548352,0,1,1
220100288,2024-09,24297,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),RAILWAYS,NFR,MANIPUR,on_roster,12274.06,0.14999999999999858,0.14999999999999858,,68.67000000000007,0.0,0,2,1.0,0.0,1.0,79.8,120.36783264869163,40.567832648691635,257.0302233902759,94.97371879106439,2.706329989622968,162.05650459921156,1,41.95137976346912,0.48150978856695387,0.31152014675843104,1,1,175.56334850263912,6210.0,59.015843168438174,275.0,8.401820498548352,0,0,0
220100288,2024-10,24298,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),RAILWAYS,NFR,MANIPUR,on_roster,12274.06,0.22499999999999787,0.29999999999999716,0.10606601717798111,88.35499999999956,0.0,0,3,1.0,0.0,1.0,80.1,121.24806298812292,41.14806298812293,258.01576872536134,94.97371879106439,2.7167070217917675,163.04204993429698,1,40.9658344283837,0.48577064955894167,0.4631815450445348,1,1,175.56334850263912,6210.0,59.015843168438174,275.0,8.401820498548352,0,0,0
220100288,2024-12,24300,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),RAILWAYS,NFR,MANIPUR,on_roster,12274.06,0.32500000000000107,0.7000000000000028,0.2598076211353321,67.89750000000004,0.0,0,5,1.0,0.0,1.0,80.95,122.02107534100371,41.071075341003706,260.0197109067017,94.97371879106439,2.73780698720166,165.04599211563732,1,38.96189224704336,0.48893929173693085,0.6647041984403745,1,1,175.56334850263912,6210.0,59.015843168438174,275.0,8.401820498548352,1,0,1
220100288,2025-01,24301,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),RAILWAYS,NFR,MANIPUR,on_roster,12274.06,0.3200000000000003,0.29999999999999716,0.22527760652137674,72.60200000000005,0.0,0,6,1.0,0.0,1.0,81.25,122.76589816246621,41.515898162466215,261.03810775295665,94.97371879106439,2.7485299204427536,166.06438896189223,1,37.943495400788436,0.4941558441558442,0.6475689881734565,1,1,175.56334850263912,6210.0,59.015843168438174,275.0,8.401820498548352,1,0,1
220100288,2025-03,24303,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),RAILWAYS,NFR,MANIPUR,on_roster,12274.06,-0.7958333333333331,-6.375,2.7406393718741375,73.00083333333335,0.16666666666666666,1,7,1.0,0.0,1.0,68.5,123.98790620218575,55.487906202185755,262.97634691195793,94.97371879106439,2.7689380837080595,168.00262812089355,1,36.00525624178712,0.8748722627737227,-0.9096566061086425,1,1,175.56334850263912,6210.0,81.15114314252985,275.0,8.401820498548352,0,0,0
220100303,2024-07,24295,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",RAILWAYS,ECR,BIHAR,on_roster,2087.36,,,,,,0,1,0.0,0.0,0.0,48.0,93.24745132607696,45.247451326076956,254.9934296977661,,,,0,,,,1,0,294.84725243544887,,0.0,,6.272216411042505,0,0,0
220100303,2024-09,24297,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",RAILWAYS,ECR,BIHAR,on_roster,2087.36,0.0,0.0,,31.954999999999927,1.0,1,2,0.0,0.0,0.0,48.0,96.3092135520466,48.3092135520466,257.0302233902759,,,,0,,,,1,0,294.84725243544887,,0.0,,6.272216411042505,0,0,0
220100303,2024-10,24298,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",RAILWAYS,ECR,BIHAR,on_roster,2087.36,0.0,0.0,0.0,33.372499999999945,1.0,2,3,0.0,0.0,0.0,48.0,97.97591215698297,49.97591215698297,258.01576872536134,,,,0,,,,1,0,294.84725243544887,,0.0,,6.272216411042505,0,0,0
220100303,2024-12,24300,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",RAILWAYS,ECR,BIHAR,on_roster,2087.36,0.0,0.0,0.0,28.211250000000007,1.0,4,5,0.0,0.0,0.0,48.0,100.18444350758853,52.184443507588526,260.0197109067017,,,,0,,,,1,0,294.84725243544887,,0.0,,6.272216411042505,0,1,1
220100303,2025-01,24301,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",RAILWAYS,ECR,BIHAR,on_roster,2087.36,0.0,0.0,0.0,34.76299999999996,1.0,5,6,0.0,0.0,0.0,48.0,103.10535796412691,55.10535796412691,261.03810775295665,,,,0,,,,1,0,294.84725243544887,,0.0,,6.272216411042505,0,1,1
220100303,2025-03,24303,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",RAILWAYS,ECR,BIHAR,on_roster,2087.36,2.0833333333333335,12.5,5.103103630798287,39.07916666666665,0.8333333333333334,0,7,0.0,0.0,1.0,73.0,108.91748428637129,35.91748428637129,262.97634691195793,,,,0,,,,1,0,294.84725243544887,,0.0,,6.272216411042505,0,0,0
220100305,2024-07,24295,"KODERMA-TILAIYA (NL), ECR",RAILWAYS,ECR,JHARKHAND,on_roster,1625.87,,,,,,0,1,0.0,0.0,0.0,70.0,106.07797671400543,36.07797671400543,266.9842312746386,,,,0,,,,1,0,253.51916679350302,,4.559405118490423,,6.133202796171501,0,0,0
