State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Physical Progress (%)
MANIPUR,ROAD TRANSPORT AND,1062,IMPHAL - KHONGSANG PKG-2,NHIDCL,N24001353,3/2021,12/2022,Nov-23,2/2025,195.14,N.A.,195.14,59.99,49.8
MANIPUR,ROAD TRANSPORT AND,1063,TAMENGLONG - MAHUR PKG-3,NHIDCL,N24001354,3/2021,12/2022,N.A.,12/2024,234.08,N.A.,234.08,139.45,90.34
MANIPUR,ROAD TRANSPORT AND,1064,IMPHAL ? MOREH (PACKAGE 4),NHIDCL,N24001399,3/2021,1/2023,N.A.,5/2024,277.99,N.A.,277.99,146.35,100
MANIPUR,ROAD TRANSPORT AND,1065,SENAPATI- IMPHAL PKG-5B,NHIDCL,N24001400,3/2021,1/2023,N.A.,8/2025,211.7,N.A.,211.7,29,29.51
MANIPUR,ROAD TRANSPORT AND,1066,IMPHAL - KHONGSANG PKG-3,NHIDCL,N24001401,7/2021,3/2023,Feb-24,12/2024,467,N.A.,467,181.65,74
MANIPUR,ROAD TRANSPORT AND,1067,TAMENGLONG - MAHUR PKG-1,NHIDCL,N24001402,7/2021,3/2023,Oct-23,1/2025,185.8,N.A.,185.8,112.31,92.65
MANIPUR,ROAD TRANSPORT AND,1068,TAMENGLONG - MAHUR PKG-2,NHIDCL,N24001403,7/2021,3/2023,May-24,2/2025,483.87,N.A.,483.87,278.89,91.03
MANIPUR,ROAD TRANSPORT AND,1069,TAMENGLONG - MAHUR PKG-4,NHIDCL,N24001404,7/2021,3/2023,Sep-23,2/2025,198.77,N.A.,198.77,110.09,85.12
MANIPUR,ROAD TRANSPORT AND,1070,CHURACHANPUR TUIVAI PKG-3,NHIDCL,N24001405,7/2021,10/2023,Feb-24,6/2025,673.27,N.A.,673.27,339.37,72.4
MANIPUR,ROAD TRANSPORT AND,1071,TAMENGLONG - MAHUR PKG-5,NHIDCL,N24001436,8/2021,5/2023,Dec-23,2/2025,477.86,N.A.,477.86,235.67,80.3
MANIPUR,ROAD TRANSPORT AND,1072,TAMENGLONG - MAHUR PKG-6,NHIDCL,N24001437,9/2021,5/2023,Oct-23,4/2025,311.18,N.A.,311.18,171.57,72.7
