State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Progress (%)
HARYANA,ROAD TRANSPORT AND,487,4- LANING OF ROHTAK-JIND SECTION FROM KM. 307+000 TO KM. 347+800 OF NH-71 AND CONNECTING LINK FROM K,NHAI,N24001673,3/2020,3/2023,Nov-24,12/2024,510.97,N.A.,510.97,529.00,88.5
HARYANA,ROAD TRANSPORT AND,488,CONSTRUCTION OF GURGAON - PATAUDI - REWARI SECTION OF NH-352W (DESIGN LENGTH 46.11 KM) AS FEEDER ROU,NHAI,N24001774,12/2020,11/2023,N.A.,6/2024,"1,524.03",N.A.,"1,524.03","1,090.31",60.8
HARYANA,ROAD TRANSPORT AND,489,CONSTRUCTION OF PROPOSED REWARI BYPASS (DESIGN LENGTH 14.4 KM) NH-11 AS A FEEDER ROUTE IN THE STATE,NHAI,N24001775,2/2020,1/2023,Dec-24,12/2024,808.31,N.A.,958.00,846.76,99.67
HARYANA,ROAD TRANSPORT AND,490,DWARKA EXPRESSWAY PKG-III (DELHI/HR BORDER TO START OF ROB GURUGRAM),NHAI,N24001780,1/2018,11/2020,Dec-24,3/2024,"2,228.00",N.A.,"2,228.00","1,411.27",100
HARYANA,ROAD TRANSPORT AND,491,CONSTRUCTION OF 8LANE EXPRESSWAY NE4 STARTING BEFORE KMP EXPRESSWAY AND ENDS AT CH. 47+000 NEAR KHAN,NHAI,N24001783,11/2018,9/2021,N.A.,12/2024,"2,252.75",N.A.,"2,252.75","1,223.07",99.95
HARYANA,ROAD TRANSPORT AND,492,UPGRADATION OF EXISTING 4 LANE ISMAILABAD-AMBALA SECTION (KM. 0+000 TO KM 42+500) (PART OF AMBALA-KO,NHAI,N24002037,1/2023,12/2025,N.A.,12/2025,609.32,609.00,609.00,103.00,22.1
HIMACHAL PRADESH,DEPARTMENT OF HIGHER EDUCATION,493,ESTABLISHMENT OF PERMANENT CAMPUS PHASE 1 OF IIM SIRMAUR,CPWD EDUCATION,N42000008,9/2018,6/2022,Dec-24,6/2025,392.51,N.A.,446.43,299.48,89
HIMACHAL PRADESH,DEPARTMENT OF HIGHER EDUCATION,494,CONSTRUCTION OF PERMANENT CAMPUSES OF CENTRAL UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND DHARAMSHAL,CPWD,N42000011,3/2021,11/2024,Jul-25,7/2025,512.37,300.45,300.45,107.13,55
HIMACHAL PRADESH,HEALTH AND FAMILY WELFARE,495,CONSTRUCTION OF 300 BEDDED HOSPITAL AND TEACHING BLOCK IN DR YS PARMAR GMC AT NAHAN HIMACHAL PRADESH,CPWD FOR HEALTH,N28000127,12/2018,6/2021,Jan-27,1/2027,260.00,371.78,371.78,46.35,7
HIMACHAL PRADESH,POWER,496,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,180100210,9/2002,9/2009,N.A.,3/2025,"3,919.59",N.A.,"12,160.00","11,982.84",98.14
HIMACHAL PRADESH,POWER,497,LUHRI HYDROELECTRIC PROJECT (STAGE1),SJVN,N18000279,11/2020,1/2026,N.A.,6/2027,"1,810.56",N.A.,"3,060.71","1,551.08",51
HIMACHAL PRADESH,POWER,498,DHAULASIDH HYDROELECTRIC PROJECT (66 MW),SJVN,N18000291,10/2020,11/2025,N.A.,5/2026,687.97,N.A.,"1,426.00",735.87,61.64
HIMACHAL PRADESH,POWER,499,SUNNI DAM HYDRO ELECTRIC PROJECT,SJVN,N18000344,1/2023,4/2028,N.A.,4/2028,"2,614.51",N.A.,"2,614.51",811.19,26.56
HIMACHAL PRADESH,RAILWAYS,500,BHANUPALI-BILASPUR BERI NL,RVNL,N22000273,4/2008,12/2026,N.A.,3/2025,"2,966.99",N.A.,"6,753.42","5,369.57",0
HIMACHAL PRADESH,ROAD TRANSPORT AND,501,PKG NAME: 4L OF KATHLIGHAT TO SHAKRAL VILLAGE FROM KM 128.835 TO KM 146.300 OF NH- 5 (SHIMLA BYPASS,NHAI,N24002049,3/2022,4/2026,N.A.,4/2026,"1,703.48","2,278.00","2,278.00",651.98,14.5
HIMACHAL PRADESH,ROAD TRANSPORT AND,502,REHABILITATION AND UPGRADATION TO 4L CONFIGURATION and STRENGTHENING OF SIHUNI TO RAJOL FROM KM 51.0,NHAI,N24002050,2/2022,9/2025,N.A.,9/2025,696.65,698.46,698.46,346.55,42
HIMACHAL PRADESH,ROAD TRANSPORT AND,503,CONSTRUCTION OF NEW 2 LANE WITH PAVED SHOULDER OF HAMIRPUR BYPASS (PACKAGE IVA) OF NH-88 (NEW NH-103,NHAI,N24002051,7/2022,10/2025,N.A.,10/2025,739.39,N.A.,739.39,288.36,57.86
HIMACHAL PRADESH,ROAD TRANSPORT AND,504,REHABILITATION AND UP- GRADATION OF EXISTING ROAD TO 2L PS FROM END OF HAMIRPUR BYPASS (NEAR CHILBAHA,NHAI,N24002052,2/2022,4/2025,N.A.,4/2025,"1,146.19",N.A.,"1,146.19",891.46,53.44
HIMACHAL PRADESH,ROAD TRANSPORT AND,505,REHABILITATION AND UP- GRADATION TO 4L CONFIGURATION AND STRENGTHENING OF THANPURI TO PAROR SECTION F,NHAI,N24002192,6/2022,12/2025,N.A.,12/2025,815.69,815.69,815.69,328.13,9.87
HIMACHAL PRADESH,ROAD TRANSPORT AND,506,FOUR LANNING OF NERCHOWK- PANDOH BYPASS SECTION OF NH-21(PACKAGE-I KM 190.000 TO KM 221.305) UNDER NH,NHAI,N24000613,9/2016,7/2020,N.A.,8/2024,"1,273.71",N.A.,"1,478.61","1,383.76",92.74
HIMACHAL PRADESH,ROAD TRANSPORT AND,507,"FOUR LANING OF SOLAN- KAITHLIGHAT SECTION OF NH-22 (NOW NH-5) FROM KM 106.139 TO KM 129.050, ON EPC M",NHAI,N24000852,3/2018,5/2021,Dec-24,12/2024,478.74,N.A.,"1,514.46","1,349.59",83
HIMACHAL PRADESH,ROAD TRANSPORT AND,508,REHABILITATION AND UPGRADATION TO 2-LANE/2- LANE WITH PAVED SHOULDERS/4-LANE CONFIGURATION OF PAONTA,MoRTH,N24001381,8/2020,4/2021,N.A.,4/2021,272.98,N.A.,272.98,137.79,97
HIMACHAL PRADESH,ROAD TRANSPORT AND,509,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF HEWNA- ASHYARI SECTION (KM 25.000 TO KM 50.,MoRTH,N24001382,8/2020,3/2021,N.A.,7/2024,242.80,N.A.,242.80,86.43,84
HIMACHAL PRADESH,ROAD TRANSPORT AND,510,REHABILITATION AND UPGRADATION TO INTERMEDIATE LANE CONFIGURATION OF SHRI KYARI- GUMMA SECTION (KM 75,MoRTH,N24001383,8/2020,4/2021,N.A.,4/2021,349.20,N.A.,349.20,239.34,100
HIMACHAL PRADESH,ROAD TRANSPORT AND,511,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF ASHYARI- SHRI KYARI SECTION (KM 50.000 TO K,MoRTH,N24001422,2/2021,9/2021,N.A.,7/2024,345.89,N.A.,345.89,152.01,82
HIMACHAL PRADESH,ROAD TRANSPORT AND,512,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF HAMIRPUR- KARNOHAL SECTION (KM 141.000 TO K,MoRTH,N24001447,8/2020,12/2024,N.A.,12/2024,371.93,N.A.,371.93,190.98,0
HIMACHAL PRADESH,ROAD TRANSPORT AND,513,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF KALWAHAN- MANDI SECTION (KM 208.950 TO KM 2,MoRTH,N24001470,8/2020,4/2025,N.A.,4/2025,314.32,N.A.,314.32,78.65,0
HIMACHAL PRADESH,ROAD TRANSPORT AND,514,REHABILITATION AND UPGRADING FROM 2 L TO 4 L FROM BHANGBAR(NEAR RANITAL) TO KANGRA BYPASS SECTION OF,NHAI,N24001808,3/2021,12/2024,Dec-24,12/2024,"1,322.95","1,442.47","1,442.47",829.78,85.16
HIMACHAL PRADESH,ROAD TRANSPORT AND,515,CONVERSION OF PARTIALLY EXCAVATED ESCAPE TUNNEL TO UNIDIRECTIONAL TWO LANE TUNNEL (INCLUDING CONSTRU,NHAI,N24001809,5/2022,3/2024,Dec-24,12/2024,469.95,N.A.,280.00,299.33,95.68
HIMACHAL PRADESH,ROAD TRANSPORT AND,516,4L SUNDER NAGAR BYPASS FROM KM173.900 TO KM 179.600 OF NH-21 IN THE STATE OF HP,NHAI,N24001810,2/2022,6/2024,N.A.,6/2024,190.60,N.A.,163.00,103.48,100
HIMACHAL PRADESH,ROAD TRANSPORT AND,517,4L OF MO - SIHUNI FROM KM. 42.00 TO KM. 51.00 OF OLD NH-20 (NEW NH-154) (PACKAGE-IB),NHAI,N24001811,4/2021,6/2024,N.A.,12/2024,583.93,770.00,704.30,170.97,98.21
HIMACHAL PRADESH,ROAD TRANSPORT AND,518,4L OF HP/PUNJAB BO4L OF HP/PUNJAB BORDER - MO FROM KM. 11.00 TO KM. 42.00 OF OLD NH-20 (NEW NH-154),NHAI,N24001812,3/2021,5/2024,N.A.,12/2025,"1,002.11","1,361.79","1,361.79",189.47,40.97
HIMACHAL PRADESH,ROAD TRANSPORT AND,519,4L OF END OF PINJORE BYPASS - BADDI - NALAGARH SECTION (KM. 4.200 TO KM. 35.370) OF NH21A,NHAI,N24001813,7/2021,9/2024,N.A.,9/2024,"1,692.05",N.A.,"1,692.05",942.14,21.6
HIMACHAL PRADESH,ROAD TRANSPORT AND,520,IMPROVEMENT/CONSTRUCTION OF EXISTING CLASS-5 ROAD TO NH INTERMEDIATE LANE SPECIFICATION WITH HARD SH,BRO,N24001915,3/2021,6/2026,N.A.,6/2026,230.54,N.A.,230.54,0.00,20
HIMACHAL PRADESH,ROAD TRANSPORT AND,521,IMPROVEMENT/CONSTRUCTION OF EXISTING CLASS 5 ROAD TO NH INTERMEDIATE LANE SPECIFICATION WITH HARD SH,BRO,N24001916,3/2021,5/2026,N.A.,5/2026,314.67,N.A.,314.67,0.00,41
HIMACHAL PRADESH,URBAN DEVELOPMENT,522,CONSTRUCTION OF PERMANENT CAMPUS OF CENTRAL UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND JADRANGAL (D,CPWD,N28000154,4/2022,11/2024,N.A.,11/2024,512.34,N.A.,512.34,0.00,0
JAMMU AND KASHMIR,CIVIL AVIATION,523,JAMMU - CONSTRUCTION OF NEW CIVIL ENCLAVE,AAI,N04000107,7/2022,6/2026,N.A.,6/2026,861.37,N.A.,861.37,77.57,15
JAMMU AND KASHMIR,DEPARTMENT OF,524,CONSTRUCTION OF PERMANENT CAMPUS OF IIM JAMMU (PHASE 1),CPWD EDUCATION,N28000130,3/2019,7/2022,Aug-24,8/2024,424.93,500.91,500.91,467.62,98
JAMMU AND KASHMIR,DEPARTMENT OF,525,CONSTRUCTION OF PERMANENT CAMPUS IIT JAMMU (PHASE 1C),CPWD EDUCATION,N28000131,1/2018,4/2023,Sep-24,9/2024,676.00,"1,148.68","1,144.68",64.75,99.1
JAMMU AND KASHMIR,HEALTH AND FAMILY WELFARE,526,C/O AIIMS AT AWANTIPORA (KASHMIR) JAMMU AND KASHMIR,CPWD FOR HEALTH,N28000150,3/2019,9/2025,Jan-25,11/2025,"1,828.00","1,577.00","1,577.00","1,136.05",60
JAMMU AND KASHMIR,HEALTH AND FAMILY WELFARE,527,"CONSTRUCTION OF AIIMS AT JAMMU VIJAYPUR, SAMBA JAMMU AND KASHMIR",CPWD FOR HEALTH,N21000029,3/2019,9/2023,Nov-24,11/2024,"1,404.00","1,642.00","1,642.00","1,446.12",100
JAMMU AND KASHMIR,PETROLEUM,528,SETTING UP A COMMON USER PETROLEUM TERMINAL AT JAMMU FOR RE-SITEMENT OF EXISTING DEPOTS OF PSU OMCS,BPCL,N16000500,4/2021,3/2025,N.A.,3/2025,676.89,N.A.,676.89,439.03,54.5
JAMMU AND KASHMIR,PETROLEUM,529,CGD PROJECT AT JAMMU DISTRICTS,IOCL,N16000527,3/2022,3/2032,Sep-34,9/2034,538.00,N.A.,538.00,4.15,0.4
JAMMU AND KASHMIR,POWER,530,PAKAL DUL HYDRO ELECTRIC PROJECT (1000 MW),CVPPPL,N18000172,10/2014,4/2020,Jul-25,9/2026,"8,112.12",N.A.,"8,112.12","5,304.98",62
JAMMU AND KASHMIR,POWER,531,KIRU HYDRO ELECTRIC PROJECT,CVPPPL,N18000278,3/2019,8/2024,N.A.,9/2026,"4,287.59",N.A.,"4,287.59","1,999.02",46.69
JAMMU AND KASHMIR,POWER,532,RATLE HE PROJECT,NHPC,N18000324,2/2021,2/2026,N.A.,12/2026,"5,281.94",N.A.,"5,281.94",825.75,16.91
JAMMU AND KASHMIR,POWER,533,KWAR HE PROJECT,CVPPPL,N18000363,5/2022,11/2026,N.A.,12/2027,"4,526.12",N.A.,"4,526.12",791.45,17.27
JAMMU AND KASHMIR,RAILWAYS,534,"UDHAMPUR-SRINAGAR- BARAMULLA (NL),NR",NR,220100133,3/1995,11/2002,Dec-24,12/2024,"2,500.00","37,012.26","42,500.00","41,327.84",99
JAMMU AND KASHMIR,ROAD TRANSPORT AND,535,2L NH-1 FROM KM 8.660 TO KM 33.775 (SUMBAL TO WAYUL) TO 4L DUAL CARRIAGEWAY NH STANDARD AS PART OF S,NHAI,N24002059,9/2022,6/2026,N.A.,6/2026,"1,183.60",N.A.,"1,183.60",129.45,5.6
JAMMU AND KASHMIR,ROAD TRANSPORT AND,536,DELHI AMRITSAR KATRA EXPRESSWAY (PHASE-II PKG XVIII) DEVELOPMENT AND UPGRADATION OF FOUR LANE ACCESS,NHAI,N24002060,3/2023,11/2025,N.A.,11/2025,"1,107.00",N.A.,"1,107.00",105.87,15.37
JAMMU AND KASHMIR,ROAD TRANSPORT AND,537,4/6L ACCESS CONTROL EXPRESSWAY FROM DESIGN CHAINAGE KM 515.000 TO 528.300 (KUNJWANI TO SIDHRA SECTIO,NHAI,N24002061,8/2022,6/2025,N.A.,8/2025,"2,474.47",N.A.,"2,675.93",726.52,22.75
JAMMU AND KASHMIR,ROAD TRANSPORT AND,538,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM DESIGN CHAINAGE KM 162.800 TO KM,BRO,N24002119,10/2022,1/2026,N.A.,1/2026,562.45,N.A.,562.45,80.79,18
JAMMU AND KASHMIR,ROAD TRANSPORT AND,539,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER (PATTAN BYPASS) GREENFIELD BYPASS FROM EXISTING CH. KM 24,BRO,N24002179,3/2023,7/2026,N.A.,7/2026,980.21,N.A.,980.21,222.74,5
JAMMU AND KASHMIR,ROAD TRANSPORT AND,540,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 166.100 TO KM,BRO,N24002180,9/2021,7/2026,N.A.,7/2026,734.64,N.A.,734.64,19.60,8
JAMMU AND KASHMIR,ROAD TRANSPORT AND,541,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDERS (BARAMULLA BYPASS) GREENFIELD BYPASS FROM EXISTING CH. K,BRO,N24002185,3/2023,9/2026,N.A.,9/2026,992.43,N.A.,992.43,315.99,0
JAMMU AND KASHMIR,ROAD TRANSPORT AND,542,FOUR LANING OF UDHAMBUR - RAMBAN SECTION OF NH-1A,NHAI,N24000488,12/2015,12/2018,Dec-24,12/2024,"2,136.97","2,644.00","2,644.00","2,381.53",99.5
JAMMU AND KASHMIR,ROAD TRANSPORT AND,543,CONSTRUCTION OF STAND ALONE RING ROAD/ BYPASS AROUND JAMMU CITY IN THE STATE OF J AND K ON EPC MODE,NHAI,N24000717,12/2017,7/2021,Dec-24,12/2024,"1,471.75","1,471.75","1,903.98","1,628.53",97.4
JAMMU AND KASHMIR,ROAD TRANSPORT AND,544,UP-GRADATION TO 4-LANE WITH PAVED SHOULDER OF JAMMU- AKHNOOR ROAD SECTION OF NH-144A FROM GANESH VIHA,NHIDCL,N24000868,3/2018,7/2021,Aug-23,6/2025,253.44,N.A.,253.44,180.32,78.83
JAMMU AND KASHMIR,ROAD TRANSPORT AND,545,"CONSTRUCTION, OPERATION AND MAINTENANCE OF Z-MORH TUNNEL INCLUDING APPROACHES ON NH-01 SRINAGAR-SONA",NHIDCL,N24001253,12/2019,12/2023,N.A.,7/2024,"2,680.42",N.A.,"2,680.42",0.00,95.05
JAMMU AND KASHMIR,ROAD TRANSPORT AND,546,CONSTRUCTION OF (I) CONNECTING ROAD FROM Z- MORH TUNNEL TO ZOJILA TUNNEL AND (II) 14.150 KM LONG BI-D,NHIDCL,N24001256,8/2020,9/2026,N.A.,9/2026,"6,808.69",N.A.,"6,808.69","3,013.84",49.92
JAMMU AND KASHMIR,ROAD TRANSPORT AND,547,UP-GRADATION TO 2-LANE WITH PAVED SHOULDER FROM KM 12.850 TO KM20.300 OF 7.450KM LENGTH ON GOHA-KHEL,NHIDCL,N24001264,7/2020,4/2022,Oct-24,10/2025,228.39,N.A.,228.39,65.27,85.33
JAMMU AND KASHMIR,ROAD TRANSPORT AND,548,UP-GRADATION TO 2-LANE WITH PAVED SHOULDER FROM KM 20.300 TO KM 29.030 OF 8.730 KM LENGTH ON GOHA-K,NHIDCL,N24001266,7/2020,4/2022,Nov-23,3/2025,210.79,N.A.,210.79,67.63,87.11
JAMMU AND KASHMIR,ROAD TRANSPORT AND,549,KHELLANI-KHANABAL PKG-1,NHIDCL,N24001323,3/2021,9/2022,Oct-24,1/2025,486.45,N.A.,486.45,120.08,96.1
JAMMU AND KASHMIR,ROAD TRANSPORT AND,550,KHELLANI-KHANABAL PKG-3,NHIDCL,N24001341,3/2021,12/2022,Oct-24,3/2025,398.51,N.A.,398.51,76.47,91.06
JAMMU AND KASHMIR,ROAD TRANSPORT AND,551,DONIPAWA TO ASHAJIPORA BYPASS PKG-7,NHIDCL,N24001342,3/2021,12/2022,N.A.,7/2024,260.40,N.A.,260.40,191.88,93.8
JAMMU AND KASHMIR,ROAD TRANSPORT AND,552,KHELLANI-KHANABAL PKG-2,NHIDCL,N24001394,7/2021,2/2023,Jun-25,12/2025,512.43,N.A.,512.43,65.31,48.73
JAMMU AND KASHMIR,ROAD TRANSPORT AND,553,KHELLANI-KHANABAL PKG-4,NHIDCL,N24001395,7/2021,8/2023,Dec-25,12/2025,859.67,N.A.,859.67,175.40,40.38
JAMMU AND KASHMIR,ROAD TRANSPORT AND,554,KHELLANI-KHANABAL PKG-5,NHIDCL,N24001396,7/2021,2/2023,Mar-25,6/2025,497.09,N.A.,497.09,149.27,74.6
JAMMU AND KASHMIR,ROAD TRANSPORT AND,555,GOHA-KHELLANI PKG-3,NHIDCL,N24001397,2/2021,3/2023,Oct-24,2/2025,431.28,N.A.,431.28,321.23,91.86
JAMMU AND KASHMIR,ROAD TRANSPORT AND,556,BALANCE WORKS OF FOUR LANING FROM RAMBAN KM 151.00 TO BANIHAL KM 187.00 OF NH-1A (NOW NH-44) WITH VA,NHAI,N24001472,9/2021,12/2023,Oct-24,10/2024,811.19,N.A.,811.19,809.25,99
JAMMU AND KASHMIR,ROAD TRANSPORT AND,557,CONSTRUCTION OF FOUR LANE RINGROAD BYPASS SRINAGAR CITY,NHAI,N24001511,3/2021,2/2024,Aug-24,6/2025,"2,919.96",N.A.,"2,919.96","2,214.10",63.5
JAMMU AND KASHMIR,ROAD TRANSPORT AND,558,FOUR LANING OF JAMMU- AKHNOOR PKG-1,NHIDCL,N24001543,7/2022,1/2025,N.A.,4/2025,245.34,N.A.,245.34,53.27,33.56
JAMMU AND KASHMIR,ROAD TRANSPORT AND,559,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG- XVI) EXISTING JAKH (VIJAYPUR)- KUNJWANI SECTION OF NH-4,NHAI,N24001550,9/2021,9/2024,Sep-25,9/2025,"1,821.72","1,917.32","1,917.32",809.59,64.5
JAMMU AND KASHMIR,ROAD TRANSPORT AND,560,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG- XIV) FROM JUNCTION WITH PATHANKOT-GURDASPUR ROAD (NH-5,NHAI,N24001551,10/2021,9/2024,Jul-25,7/2025,"3,044.02","3,044.02","3,044.02","1,349.97",54.05
JAMMU AND KASHMIR,ROAD TRANSPORT AND,561,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG-XV) [JUNCTION WITH HIRANAGAR ROAD NEAR VILLAGE GURHA B,NHAI,N24001552,10/2021,9/2024,Sep-25,9/2025,"2,714.95","2,714.95","2,714.95","1,523.44",70.25
JAMMU AND KASHMIR,ROAD TRANSPORT AND,562,CORRIDOR EFFICIENCY IMPROVEMENT INCLUDING REMOVAL OF BLACK SPOTS IN LAKHANPUR - SAMBA SECTION OF NH-,NHAI,N24001619,8/2022,6/2024,Jun-25,6/2025,200.05,200.05,208.92,107.16,42.42
JAMMU AND KASHMIR,ROAD TRANSPORT AND,563,CONSTRUCTION OF TUNNELS/VIADUCTS AT IDENTIFIED SLIDING/SLIP ZONES AT KM 130.550 TO KM.130.750; KM.,NHAI,N24001620,9/2021,10/2023,May-25,5/2025,442.14,N.A.,442.14,272.47,19.88
JAMMU AND KASHMIR,ROAD TRANSPORT AND,564,"4L OF KM.165.092 TO KM.171.855 (NORTH BOUND) AND FROM KM.166.895 TO KM.173.638 (SOUTH BOUND), EXCL.",NHAI,N24001621,7/2021,8/2024,Jun-25,6/2025,614.48,N.A.,614.48,162.58,7
JAMMU AND KASHMIR,ROAD TRANSPORT AND,565,4L TWIN TUBE TUNNEL INCLUDING APPROACHES FROM DIGDOL TO KHUNI NALLAH (NORTH BOUND CONNECTING WITH EX,NHAI,N24001622,7/2021,6/2024,Jun-25,6/2025,"1,401.87",N.A.,"1,401.87",596.67,0
JAMMU AND KASHMIR,ROAD TRANSPORT AND,566,BANIHAL BYPASS (DELINKED FROM SRINAGAR - BANIHAL) FROM KM. 187.00 TO KM. 189.350,NHAI,N24001623,1/2020,1/2024,Dec-24,12/2024,336.01,N.A.,336.01,192.82,34
JAMMU AND KASHMIR,ROAD TRANSPORT AND,567,CONSTRUCTION OF EMERGENCY LANDING FACILITY FROM KM. 246.60 TO KM. 249.70 ON SRINAGAR - BANIHAL SECTI,NHAI,N24001624,7/2019,10/2020,Apr-23,9/2024,157.05,N.A.,157.05,139.54,100
JAMMU AND KASHMIR,ROAD TRANSPORT AND,568,4L OF TWIN TUBE TUNNEL CONFIGURATION INCLUDING APPROACHES FROM MAROG TO DIGDOL (FROM KM.154.210 TO K,NHAI,N24001627,7/2021,2/2025,Feb-25,2/2025,"1,912.17",N.A.,"1,912.17",56.68,0
JAMMU AND KASHMIR,ROAD TRANSPORT AND,569,JAMMU - AKHNOOR SECTION OF NH 144A PKG-3B,NHIDCL,N24001833,7/2022,3/2025,N.A.,3/2025,198.28,N.A.,198.28,72.01,54.37
JAMMU AND KASHMIR,ROAD TRANSPORT AND,570,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 102 TO KM 13,BRO,N24001897,3/2021,7/2024,N.A.,12/2024,642.24,N.A.,642.24,483.08,92
JAMMU AND KASHMIR,ROAD TRANSPORT AND,571,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 30.000 TO K,BRO,N24001898,7/2020,11/2024,N.A.,11/2024,272.49,N.A.,272.49,177.33,87
JAMMU AND KASHMIR,ROAD TRANSPORT AND,572,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 134.95 TO KM,BRO,N24001899,2/2021,7/2024,N.A.,3/2025,395.25,N.A.,395.25,198.77,60
JAMMU AND KASHMIR,ROAD TRANSPORT AND,573,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 49.150 TO KM,BRO,N24001900,3/2020,8/2024,N.A.,3/2025,796.97,N.A.,796.97,459.00,79
JAMMU AND KASHMIR,ROAD TRANSPORT AND,574,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 64.535 TO K,BRO,N24001901,3/2020,9/2023,N.A.,3/2025,152.93,N.A.,152.93,103.81,78.25
JAMMU AND KASHMIR,ROAD TRANSPORT AND,575,CONSTRUCTION OF TWIN TUBE TUNNELS ON JAMMU KASHMIR RING ROAD (NH-244A) BETWEEN DESIGN CH. 50+600 TO,NHAI,N24001926,3/2023,6/2025,N.A.,6/2025,939.86,N.A.,939.86,293.05,40.98
JAMMU AND KASHMIR,ROAD TRANSPORT AND,576,"CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER FROM (DESIGN CH. 14+200 TO 24+400), (DESIGN CH. 35+300 TO",BRO,N24001998,6/2022,8/2025,N.A.,8/2025,832.46,N.A.,823.46,301.83,35
JHARKHAND,COAL,577,RAJRAPPA RCE OCP ( 3.0 MTY),CCL,N06000087,12/2009,3/2016,N.A.,3/2025,510.85,N.A.,510.85,488.31,74.5
JHARKHAND,COAL,578,MURAIDIH UG TURN-KEY PROJECT,BCCL,N06000096,2/2011,4/2014,N.A.,1/2026,339.88,N.A.,339.88,190.48,70
JHARKHAND,COAL,579,MOONIDIH XV SEAM UG,BCCL,N06000098,8/2011,3/2019,N.A.,2/2026,"1,230.27",N.A.,"1,230.27",595.14,80
JHARKHAND,COAL,580,MADHUBAND NLW WASHERY,BCCL,N06000126,8/2010,5/2014,N.A.,11/2023,289.45,N.A.,302.00,300.01,100
JHARKHAND,COAL,581,CHITRA EAST (RCE) OCP,ECL,N06000169,8/2018,3/2024,Mar-26,3/2026,513.98,N.A.,513.98,185.85,51
JHARKHAND,COAL,582,TETARIAKHAR EXPANSION OCP,CCL,N06000186,11/2019,3/2023,N.A.,3/2025,243.52,N.A.,243.52,44.39,46.6
JHARKHAND,COAL,583,PACHWARA SOUTH COAL BLOCK,NLC,N06000193,7/2013,9/2028,N.A.,9/2028,"2,242.92","2,242.90","2,242.90",230.57,43
JHARKHAND,COAL,584,PATHERDIH 2.5 NLW COAL WASHERY,BCCL,N06000194,10/2015,4/2018,N.A.,6/2025,334.27,N.A.,334.27,122.47,43
JHARKHAND,COAL,585,REVISED PROJECT REPORT MAGADH EXPANSION OCP,CCL,N06000216,8/2020,3/2028,N.A.,3/2028,"7,254.37",N.A.,"7,254.37","1,287.68",19
JHARKHAND,COAL,586,EXPANSION PROJECT AMRAPALI OCP,CCL,N06000217,8/2020,3/2028,N.A.,3/2028,"5,136.15",N.A.,"5,136.15",770.67,19
JHARKHAND,COAL,587,UCE OF EPR OF NORTH URIMARI OCP,CCL,N06000218,7/2021,3/2026,N.A.,3/2026,778.80,N.A.,778.80,683.42,75
JHARKHAND,COAL,588,KOTRE BASANTPUR PACHMO OCP,CCL,N06000237,8/2020,3/2032,N.A.,3/2032,625.40,625.40,625.40,411.40,38
JHARKHAND,COAL,589,CHANDRAGUPT OCP,CCL,N06000238,8/2020,3/2032,N.A.,3/2032,973.50,N.A.,973.50,7.95,12.4
JHARKHAND,COAL,590,SIRKA OCP,CCL,N06000239,5/2020,3/2025,N.A.,3/2025,222.82,N.A.,222.82,139.31,60
JHARKHAND,COAL,591,JHARKHAND LAIYO OCP,CCL,N06000240,8/2020,3/2031,N.A.,3/2031,764.57,N.A.,764.57,145.80,20
JHARKHAND,COAL,592,EPR TAPIN SOUTH OCP,CCL,N06000241,11/2020,3/2025,N.A.,3/2025,230.41,N.A.,230.41,18.14,18.3
JHARKHAND,COAL,593,EPR PUNDI OCP,CCL,N06000242,11/2020,3/2027,N.A.,3/2027,713.35,N.A.,713.35,236.57,39
